question,positive_chunk,positive_chunk_id,paragraph_id
What are the differences in serum cholesterol and triglyceride levels between adenovirus-infected and non-infected chickens?,"Effect of adenovirus infection on adiposity in chicken.
Excessive fat accumulation has been observed in the field in chickens infected with adenovirus. In the present study this has been verified under experimental conditions. Chickens inoculated with adenovirus showed lesser weight gain but excessive adiposity compared to normal control chickens. These changes could not be explained by variation in food consumption. Chickens acquiring adenovirus naturally from the inoculated group showed similar adiposity. Serum cholesterol and triglyceride levels of inoculated and naturally infected chickens were significantly lower compared to those of the control group. Such an association between adenovirus infection and adiposity has been shown, probably, for the first time, which might help in further understanding of the complex problem of obesity.",0,8
What is the relationship between adherence to a Mediterranean diet and the risk of cognitive impairment in older adults?,"Mediterranean diet, stroke, cognitive impairment, and depression: A meta-analysis.
OBJECTIVE: This meta-analysis aims to quantitatively synthesize all studies that examine the association between adherence to a Mediterranean diet and risk of stroke, depression, cognitive impairment, and Parkinson disease. METHODS: Potentially eligible publications were those providing effect estimates of relative risk (RR) for the association between Mediterranean diet and the aforementioned outcomes. Studies were sought in PubMed up to October 31, 2012. Maximally adjusted effect estimates were extracted; separate analyses were performed for high and moderate adherence. RESULTS: Twenty-two eligible studies were included (11 covered stroke, 9 covered depression, and 8 covered cognitive impairment; only 1 pertained to Parkinson's disease). High adherence to Mediterranean diet was consistently associated with reduced risk for stroke (RR = 0.71, 95% confidence interval [CI] = 0.57-0.89), depression (RR = 0.68, 95% CI = 0.54-0.86), and cognitive impairment (RR = 0.60, 95% CI = 0.43-0.83). Moderate adherence was similarly associated with reduced risk for depression and cognitive impairment, whereas the protective trend concerning stroke was only marginal. Subgroup analyses highlighted the protective actions of high adherence in terms of reduced risk for ischemic stroke, mild cognitive impairment, dementia, and particularly Alzheimer disease. Meta-regression analysis indicated that the protective effects of Mediterranean diet in stroke prevention seemed more sizeable among males. Concerning depression, the protective effects of high adherence seemed independent of age, whereas the favorable actions of moderate adherence seemed to fade away with more advanced age. INTERPRETATION: Adherence to a Mediterranean diet may contribute to the prevention of a series of brain diseases; this may be of special value given the aging of Western societies. © 2013 American Neurological Association.",0,9
Can a Mediterranean diet help prevent depression in middle-aged and older adults?,"Mediterranean diet, stroke, cognitive impairment, and depression: A meta-analysis.
OBJECTIVE: This meta-analysis aims to quantitatively synthesize all studies that examine the association between adherence to a Mediterranean diet and risk of stroke, depression, cognitive impairment, and Parkinson disease. METHODS: Potentially eligible publications were those providing effect estimates of relative risk (RR) for the association between Mediterranean diet and the aforementioned outcomes. Studies were sought in PubMed up to October 31, 2012. Maximally adjusted effect estimates were extracted; separate analyses were performed for high and moderate adherence. RESULTS: Twenty-two eligible studies were included (11 covered stroke, 9 covered depression, and 8 covered cognitive impairment; only 1 pertained to Parkinson's disease). High adherence to Mediterranean diet was consistently associated with reduced risk for stroke (RR = 0.71, 95% confidence interval [CI] = 0.57-0.89), depression (RR = 0.68, 95% CI = 0.54-0.86), and cognitive impairment (RR = 0.60, 95% CI = 0.43-0.83). Moderate adherence was similarly associated with reduced risk for depression and cognitive impairment, whereas the protective trend concerning stroke was only marginal. Subgroup analyses highlighted the protective actions of high adherence in terms of reduced risk for ischemic stroke, mild cognitive impairment, dementia, and particularly Alzheimer disease. Meta-regression analysis indicated that the protective effects of Mediterranean diet in stroke prevention seemed more sizeable among males. Concerning depression, the protective effects of high adherence seemed independent of age, whereas the favorable actions of moderate adherence seemed to fade away with more advanced age. INTERPRETATION: Adherence to a Mediterranean diet may contribute to the prevention of a series of brain diseases; this may be of special value given the aging of Western societies. © 2013 American Neurological Association.",0,9
How does adherence to a Mediterranean diet affect the risk of stroke in males versus females?,"Mediterranean diet, stroke, cognitive impairment, and depression: A meta-analysis.
OBJECTIVE: This meta-analysis aims to quantitatively synthesize all studies that examine the association between adherence to a Mediterranean diet and risk of stroke, depression, cognitive impairment, and Parkinson disease. METHODS: Potentially eligible publications were those providing effect estimates of relative risk (RR) for the association between Mediterranean diet and the aforementioned outcomes. Studies were sought in PubMed up to October 31, 2012. Maximally adjusted effect estimates were extracted; separate analyses were performed for high and moderate adherence. RESULTS: Twenty-two eligible studies were included (11 covered stroke, 9 covered depression, and 8 covered cognitive impairment; only 1 pertained to Parkinson's disease). High adherence to Mediterranean diet was consistently associated with reduced risk for stroke (RR = 0.71, 95% confidence interval [CI] = 0.57-0.89), depression (RR = 0.68, 95% CI = 0.54-0.86), and cognitive impairment (RR = 0.60, 95% CI = 0.43-0.83). Moderate adherence was similarly associated with reduced risk for depression and cognitive impairment, whereas the protective trend concerning stroke was only marginal. Subgroup analyses highlighted the protective actions of high adherence in terms of reduced risk for ischemic stroke, mild cognitive impairment, dementia, and particularly Alzheimer disease. Meta-regression analysis indicated that the protective effects of Mediterranean diet in stroke prevention seemed more sizeable among males. Concerning depression, the protective effects of high adherence seemed independent of age, whereas the favorable actions of moderate adherence seemed to fade away with more advanced age. INTERPRETATION: Adherence to a Mediterranean diet may contribute to the prevention of a series of brain diseases; this may be of special value given the aging of Western societies. © 2013 American Neurological Association.",0,9
What are the best breakfast options to reduce inflammation in the body?,"Olive oil and walnut breakfasts reduce the postprandial inflammatory response in mononuclear cells compared with a butter breakfast in healthy men.
BACKGROUND: Inflammation is crucial in all stages of atherosclerosis, and few studies have investigated the effect of dietary fat on markers of inflammation related to this disease during the postprandial period. OBJECTIVE: To evaluate the chronic effects of dietary fat on the postprandial expression of proinflammatory genes in peripheral blood mononuclear cells (PBMCs) in healthy subjects. DESIGN: 20 healthy men followed three different diets for 4 weeks each, according to a randomized crossover design: Western diet: 15% protein, 47% carbohydrates (CHO), 38% fat (22% saturated fatty acid (SFA)); Mediterranean diet: 15% protein, 47% CHO, 38% fat (24% monounsaturated fatty acid (MUFA)); CHO-rich and n-3 diet: 15% protein, 55% CHO, <30% fat (8% polyunsaturated fatty acid (PUFA)). After 12-h fast, volunteers were given a breakfast with a fat composition similar to that consumed in each of the diets-butter breakfast: 35% SFA; olive oil breakfast: 36% MUFA; walnut breakfast: 16% PUFA, 4% alpha-linolenic acid (LNA). RESULTS: The butter breakfast induced a higher increase in tumor necrosis factor (TNF)-alpha messenger RNA (mRNA) expression than the olive oil or walnut breakfasts (P=0.014) in PBMCs. Moreover, we found a higher postprandial response in the mRNA of interleukin (IL)-6 with the intake of butter and olive oil breakfasts than with the walnut breakfast (P=0.025) in these cells. However, the effects of the three fatty breakfasts on the plasma concentrations of these proinflammatory parameters showed no significant differences (P=N.S.). CONCLUSION: Consumption of a butter-enriched meal elicits greater postprandial expression of proinflammatory cytokine mRNA in PBMCs, compared to the olive oil and walnut breakfasts.",0,10
How does the type of fat consumed in breakfast affect the expression of proinflammatory genes in PBMCs?,"Olive oil and walnut breakfasts reduce the postprandial inflammatory response in mononuclear cells compared with a butter breakfast in healthy men.
BACKGROUND: Inflammation is crucial in all stages of atherosclerosis, and few studies have investigated the effect of dietary fat on markers of inflammation related to this disease during the postprandial period. OBJECTIVE: To evaluate the chronic effects of dietary fat on the postprandial expression of proinflammatory genes in peripheral blood mononuclear cells (PBMCs) in healthy subjects. DESIGN: 20 healthy men followed three different diets for 4 weeks each, according to a randomized crossover design: Western diet: 15% protein, 47% carbohydrates (CHO), 38% fat (22% saturated fatty acid (SFA)); Mediterranean diet: 15% protein, 47% CHO, 38% fat (24% monounsaturated fatty acid (MUFA)); CHO-rich and n-3 diet: 15% protein, 55% CHO, <30% fat (8% polyunsaturated fatty acid (PUFA)). After 12-h fast, volunteers were given a breakfast with a fat composition similar to that consumed in each of the diets-butter breakfast: 35% SFA; olive oil breakfast: 36% MUFA; walnut breakfast: 16% PUFA, 4% alpha-linolenic acid (LNA). RESULTS: The butter breakfast induced a higher increase in tumor necrosis factor (TNF)-alpha messenger RNA (mRNA) expression than the olive oil or walnut breakfasts (P=0.014) in PBMCs. Moreover, we found a higher postprandial response in the mRNA of interleukin (IL)-6 with the intake of butter and olive oil breakfasts than with the walnut breakfast (P=0.025) in these cells. However, the effects of the three fatty breakfasts on the plasma concentrations of these proinflammatory parameters showed no significant differences (P=N.S.). CONCLUSION: Consumption of a butter-enriched meal elicits greater postprandial expression of proinflammatory cytokine mRNA in PBMCs, compared to the olive oil and walnut breakfasts.",0,10
Can a walnut-enriched breakfast help reduce the postprandial inflammatory response in healthy men?,"Olive oil and walnut breakfasts reduce the postprandial inflammatory response in mononuclear cells compared with a butter breakfast in healthy men.
BACKGROUND: Inflammation is crucial in all stages of atherosclerosis, and few studies have investigated the effect of dietary fat on markers of inflammation related to this disease during the postprandial period. OBJECTIVE: To evaluate the chronic effects of dietary fat on the postprandial expression of proinflammatory genes in peripheral blood mononuclear cells (PBMCs) in healthy subjects. DESIGN: 20 healthy men followed three different diets for 4 weeks each, according to a randomized crossover design: Western diet: 15% protein, 47% carbohydrates (CHO), 38% fat (22% saturated fatty acid (SFA)); Mediterranean diet: 15% protein, 47% CHO, 38% fat (24% monounsaturated fatty acid (MUFA)); CHO-rich and n-3 diet: 15% protein, 55% CHO, <30% fat (8% polyunsaturated fatty acid (PUFA)). After 12-h fast, volunteers were given a breakfast with a fat composition similar to that consumed in each of the diets-butter breakfast: 35% SFA; olive oil breakfast: 36% MUFA; walnut breakfast: 16% PUFA, 4% alpha-linolenic acid (LNA). RESULTS: The butter breakfast induced a higher increase in tumor necrosis factor (TNF)-alpha messenger RNA (mRNA) expression than the olive oil or walnut breakfasts (P=0.014) in PBMCs. Moreover, we found a higher postprandial response in the mRNA of interleukin (IL)-6 with the intake of butter and olive oil breakfasts than with the walnut breakfast (P=0.025) in these cells. However, the effects of the three fatty breakfasts on the plasma concentrations of these proinflammatory parameters showed no significant differences (P=N.S.). CONCLUSION: Consumption of a butter-enriched meal elicits greater postprandial expression of proinflammatory cytokine mRNA in PBMCs, compared to the olive oil and walnut breakfasts.",0,10
What is the projected prevalence of obesity in the US by 2030?,"Will all Americans become overweight or obese? estimating the progression and cost of the US obesity epidemic.
We projected future prevalence and BMI distribution based on national survey data (National Health and Nutrition Examination Study) collected between 1970s and 2004. Future obesity-related health-care costs for adults were estimated using projected prevalence, Census population projections, and published national estimates of per capita excess health-care costs of obesity/overweight. The objective was to illustrate potential burden of obesity prevalence and health-care costs of obesity and overweight in the United States that would occur if current trends continue. Overweight and obesity prevalence have increased steadily among all US population groups, but with notable differences between groups in annual increase rates. The increase (percentage points) in obesity and overweight in adults was faster than in children (0.77 vs. 0.46-0.49), and in women than in men (0.91 vs. 0.65). If these trends continue, by 2030, 86.3% adults will be overweight or obese; and 51.1%, obese. Black women (96.9%) and Mexican-American men (91.1%) would be the most affected. By 2048, all American adults would become overweight or obese, while black women will reach that state by 2034. In children, the prevalence of overweight (BMI >/= 95th percentile, 30%) will nearly double by 2030. Total health-care costs attributable to obesity/overweight would double every decade to 860.7-956.9 billion US dollars by 2030, accounting for 16-18% of total US health-care costs. We continue to move away from the Healthy People 2010 objectives. Timely, dramatic, and effective development and implementation of corrective programs/policies are needed to avoid the otherwise inevitable health and societal consequences implied by our projections .",0,11
How do annual increase rates of obesity differ between population groups in the US?,"Will all Americans become overweight or obese? estimating the progression and cost of the US obesity epidemic.
We projected future prevalence and BMI distribution based on national survey data (National Health and Nutrition Examination Study) collected between 1970s and 2004. Future obesity-related health-care costs for adults were estimated using projected prevalence, Census population projections, and published national estimates of per capita excess health-care costs of obesity/overweight. The objective was to illustrate potential burden of obesity prevalence and health-care costs of obesity and overweight in the United States that would occur if current trends continue. Overweight and obesity prevalence have increased steadily among all US population groups, but with notable differences between groups in annual increase rates. The increase (percentage points) in obesity and overweight in adults was faster than in children (0.77 vs. 0.46-0.49), and in women than in men (0.91 vs. 0.65). If these trends continue, by 2030, 86.3% adults will be overweight or obese; and 51.1%, obese. Black women (96.9%) and Mexican-American men (91.1%) would be the most affected. By 2048, all American adults would become overweight or obese, while black women will reach that state by 2034. In children, the prevalence of overweight (BMI >/= 95th percentile, 30%) will nearly double by 2030. Total health-care costs attributable to obesity/overweight would double every decade to 860.7-956.9 billion US dollars by 2030, accounting for 16-18% of total US health-care costs. We continue to move away from the Healthy People 2010 objectives. Timely, dramatic, and effective development and implementation of corrective programs/policies are needed to avoid the otherwise inevitable health and societal consequences implied by our projections .",0,11
What are the estimated healthcare costs attributable to obesity/overweight in the US by 2030?,"Will all Americans become overweight or obese? estimating the progression and cost of the US obesity epidemic.
We projected future prevalence and BMI distribution based on national survey data (National Health and Nutrition Examination Study) collected between 1970s and 2004. Future obesity-related health-care costs for adults were estimated using projected prevalence, Census population projections, and published national estimates of per capita excess health-care costs of obesity/overweight. The objective was to illustrate potential burden of obesity prevalence and health-care costs of obesity and overweight in the United States that would occur if current trends continue. Overweight and obesity prevalence have increased steadily among all US population groups, but with notable differences between groups in annual increase rates. The increase (percentage points) in obesity and overweight in adults was faster than in children (0.77 vs. 0.46-0.49), and in women than in men (0.91 vs. 0.65). If these trends continue, by 2030, 86.3% adults will be overweight or obese; and 51.1%, obese. Black women (96.9%) and Mexican-American men (91.1%) would be the most affected. By 2048, all American adults would become overweight or obese, while black women will reach that state by 2034. In children, the prevalence of overweight (BMI >/= 95th percentile, 30%) will nearly double by 2030. Total health-care costs attributable to obesity/overweight would double every decade to 860.7-956.9 billion US dollars by 2030, accounting for 16-18% of total US health-care costs. We continue to move away from the Healthy People 2010 objectives. Timely, dramatic, and effective development and implementation of corrective programs/policies are needed to avoid the otherwise inevitable health and societal consequences implied by our projections .",0,11
What are the effects of high-intensity exercise on lipid peroxidation in the human body?,"Exercise-induced lipid peroxidation: Implications for deoxyribonucleic acid damage and systemic free radical generation.
Exercise-induced deoxyribonucleic acid (DNA) damage is often associated with an increase in free radicals; however, there is a lack of evidence examining the two in parallel. This study tested the hypothesis that high-intensity exercise has the ability to produce free radicals that may be capable of causing DNA damage. Twelve apparently healthy male subjects (age: 23 ± 4 years; stature: 181 ± 8 cm; body mass: 80 ± 9 kg; and VO(2max) : 49 ± 5 ml/kg/min) performed three 5 min consecutive and incremental stages (40, 70, and 100% of VO(2max) ) of aerobic exercise with a 15-min period separating each stage. Blood was drawn after each bout of exercise for the determination of ex vivo free radicals, DNA damage, protein carbonyls, lipid hydroperoxide (LOOH) concentration, and a range of lipid-soluble antioxidants. Lipid-derived oxygen-centered free radicals (hyperfine coupling constants a(Nitrogen) = 13.7 Gauss (G) and aβ(Hydrogen) = 1.8 G) increased as a result of acute moderate and high-intensity exercise (P < 0.05), while DNA damage was also increased (P < 0.05). Systemic changes were observed in LOOH and for lipid-soluble antioxidants throughout exercise (P < 0.05); however, there was no observed change in protein carbonyl concentration (P > 0.05). These findings identify lipid-derived free radical species as possible contributors to peripheral mononuclear cell DNA damage in the human exercising model. This damage occurs in the presence of lipid oxidation but in the absence of any change to protein carbonyl concentration. The significance of these findings may have relevance in terms of immune function, the aging process, and the pathology of carcinogenesis. Copyright © 2010 Wiley-Liss, Inc.",0,12
How does exercise-induced DNA damage relate to the production of free radicals during aerobic exercise?,"Exercise-induced lipid peroxidation: Implications for deoxyribonucleic acid damage and systemic free radical generation.
Exercise-induced deoxyribonucleic acid (DNA) damage is often associated with an increase in free radicals; however, there is a lack of evidence examining the two in parallel. This study tested the hypothesis that high-intensity exercise has the ability to produce free radicals that may be capable of causing DNA damage. Twelve apparently healthy male subjects (age: 23 ± 4 years; stature: 181 ± 8 cm; body mass: 80 ± 9 kg; and VO(2max) : 49 ± 5 ml/kg/min) performed three 5 min consecutive and incremental stages (40, 70, and 100% of VO(2max) ) of aerobic exercise with a 15-min period separating each stage. Blood was drawn after each bout of exercise for the determination of ex vivo free radicals, DNA damage, protein carbonyls, lipid hydroperoxide (LOOH) concentration, and a range of lipid-soluble antioxidants. Lipid-derived oxygen-centered free radicals (hyperfine coupling constants a(Nitrogen) = 13.7 Gauss (G) and aβ(Hydrogen) = 1.8 G) increased as a result of acute moderate and high-intensity exercise (P < 0.05), while DNA damage was also increased (P < 0.05). Systemic changes were observed in LOOH and for lipid-soluble antioxidants throughout exercise (P < 0.05); however, there was no observed change in protein carbonyl concentration (P > 0.05). These findings identify lipid-derived free radical species as possible contributors to peripheral mononuclear cell DNA damage in the human exercising model. This damage occurs in the presence of lipid oxidation but in the absence of any change to protein carbonyl concentration. The significance of these findings may have relevance in terms of immune function, the aging process, and the pathology of carcinogenesis. Copyright © 2010 Wiley-Liss, Inc.",0,12
What are the implications of lipid-derived free radicals on immune function and the aging process?,"Exercise-induced lipid peroxidation: Implications for deoxyribonucleic acid damage and systemic free radical generation.
Exercise-induced deoxyribonucleic acid (DNA) damage is often associated with an increase in free radicals; however, there is a lack of evidence examining the two in parallel. This study tested the hypothesis that high-intensity exercise has the ability to produce free radicals that may be capable of causing DNA damage. Twelve apparently healthy male subjects (age: 23 ± 4 years; stature: 181 ± 8 cm; body mass: 80 ± 9 kg; and VO(2max) : 49 ± 5 ml/kg/min) performed three 5 min consecutive and incremental stages (40, 70, and 100% of VO(2max) ) of aerobic exercise with a 15-min period separating each stage. Blood was drawn after each bout of exercise for the determination of ex vivo free radicals, DNA damage, protein carbonyls, lipid hydroperoxide (LOOH) concentration, and a range of lipid-soluble antioxidants. Lipid-derived oxygen-centered free radicals (hyperfine coupling constants a(Nitrogen) = 13.7 Gauss (G) and aβ(Hydrogen) = 1.8 G) increased as a result of acute moderate and high-intensity exercise (P < 0.05), while DNA damage was also increased (P < 0.05). Systemic changes were observed in LOOH and for lipid-soluble antioxidants throughout exercise (P < 0.05); however, there was no observed change in protein carbonyl concentration (P > 0.05). These findings identify lipid-derived free radical species as possible contributors to peripheral mononuclear cell DNA damage in the human exercising model. This damage occurs in the presence of lipid oxidation but in the absence of any change to protein carbonyl concentration. The significance of these findings may have relevance in terms of immune function, the aging process, and the pathology of carcinogenesis. Copyright © 2010 Wiley-Liss, Inc.",0,12
What are the lifestyle changes I can make to prevent cancer?,"Cancer is a Preventable Disease that Requires Major Lifestyle Changes
This year, more than 1 million Americans and more than 10 million people worldwide are expected to be diagnosed with cancer, a disease commonly believed to be preventable. Only 5–10% of all cancer cases can be attributed to genetic defects, whereas the remaining 90–95% have their roots in the environment and lifestyle. The lifestyle factors include cigarette smoking, diet (fried foods, red meat), alcohol, sun exposure, environmental pollutants, infections, stress, obesity, and physical inactivity. The evidence indicates that of all cancer-related deaths, almost 25–30% are due to tobacco, as many as 30–35% are linked to diet, about 15–20% are due to infections, and the remaining percentage are due to other factors like radiation, stress, physical activity, environmental pollutants etc. Therefore, cancer prevention requires smoking cessation, increased ingestion of fruits and vegetables, moderate use of alcohol, caloric restriction, exercise, avoidance of direct exposure to sunlight, minimal meat consumption, use of whole grains, use of vaccinations, and regular check-ups. In this review, we present evidence that inflammation is the link between the agents/factors that cause cancer and the agents that prevent it. In addition, we provide evidence that cancer is a preventable disease that requires major lifestyle changes.",0,13
How does smoking affect my risk of developing cancer?,"Cancer is a Preventable Disease that Requires Major Lifestyle Changes
This year, more than 1 million Americans and more than 10 million people worldwide are expected to be diagnosed with cancer, a disease commonly believed to be preventable. Only 5–10% of all cancer cases can be attributed to genetic defects, whereas the remaining 90–95% have their roots in the environment and lifestyle. The lifestyle factors include cigarette smoking, diet (fried foods, red meat), alcohol, sun exposure, environmental pollutants, infections, stress, obesity, and physical inactivity. The evidence indicates that of all cancer-related deaths, almost 25–30% are due to tobacco, as many as 30–35% are linked to diet, about 15–20% are due to infections, and the remaining percentage are due to other factors like radiation, stress, physical activity, environmental pollutants etc. Therefore, cancer prevention requires smoking cessation, increased ingestion of fruits and vegetables, moderate use of alcohol, caloric restriction, exercise, avoidance of direct exposure to sunlight, minimal meat consumption, use of whole grains, use of vaccinations, and regular check-ups. In this review, we present evidence that inflammation is the link between the agents/factors that cause cancer and the agents that prevent it. In addition, we provide evidence that cancer is a preventable disease that requires major lifestyle changes.",0,13
What is the link between inflammation and cancer prevention?,"Cancer is a Preventable Disease that Requires Major Lifestyle Changes
This year, more than 1 million Americans and more than 10 million people worldwide are expected to be diagnosed with cancer, a disease commonly believed to be preventable. Only 5–10% of all cancer cases can be attributed to genetic defects, whereas the remaining 90–95% have their roots in the environment and lifestyle. The lifestyle factors include cigarette smoking, diet (fried foods, red meat), alcohol, sun exposure, environmental pollutants, infections, stress, obesity, and physical inactivity. The evidence indicates that of all cancer-related deaths, almost 25–30% are due to tobacco, as many as 30–35% are linked to diet, about 15–20% are due to infections, and the remaining percentage are due to other factors like radiation, stress, physical activity, environmental pollutants etc. Therefore, cancer prevention requires smoking cessation, increased ingestion of fruits and vegetables, moderate use of alcohol, caloric restriction, exercise, avoidance of direct exposure to sunlight, minimal meat consumption, use of whole grains, use of vaccinations, and regular check-ups. In this review, we present evidence that inflammation is the link between the agents/factors that cause cancer and the agents that prevent it. In addition, we provide evidence that cancer is a preventable disease that requires major lifestyle changes.",0,13
What is the association between heme iron intake and the risk of developing type 2 diabetes in a Mediterranean population?,"Heme iron intake and risk of new-onset diabetes in a Mediterranean population at high risk of cardiovascular disease: an observational cohort analysis
Background Several epidemiological studies have observed an increased risk of type 2 diabetes mellitus (T2DM) among subjects with a higher consumption of red and processed meat. Heme iron intake has been directly associated with a higher risk of T2DM in healthy adult Chinese and U.S populations. The objective of the present study was to evaluate the association between heme iron intake and the incidence of T2DM in a Mediterranean population at high cardiovascular risk. Methods We assessed a subset of participants in the PREDIMED trial as an observational cohort, followed up for a maximum of eight years. We initially included 1073 non-diabetic subjects (57.1% women) aged 67.3 ± 6.0 years, at high cardiovascular risk. Diet was assessed at the study baseline using a validated, semi-quantitative food frequency questionnaire. Results During the follow-up period 131 diabetics were newly diagnosed. The risk of developing T2DM was assessed using baseline heme iron intake and proportional hazard models, first unadjusted, then adjusted for energy, and finally adjusted for dietary, anthropometric, socio-demographic and lifestyle variables. Significant direct associations with the incidence of T2DM were found for heme iron (Hazard Ratio [HR] 1.30, 95% confidence interval [CI], 1.02 to 1.66). Secondarily, we have also observed that coffee (HR:0.93, 95% CI, 0.89 to 0.98) and alcoholic beverages (HR: 1.02, 95% CI, 1.01 to 1.04) were also found to reduce and increase the risk of T2DM, respectively. Conclusion High dietary intake of heme iron was associated with an increased risk of developing T2DM in a Mediterranean population at high cardiovascular risk. Trial registration Identifier: ISRCTN35739639.",0,14
How does coffee consumption affect the risk of developing type 2 diabetes in a high-risk population?,"Heme iron intake and risk of new-onset diabetes in a Mediterranean population at high risk of cardiovascular disease: an observational cohort analysis
Background Several epidemiological studies have observed an increased risk of type 2 diabetes mellitus (T2DM) among subjects with a higher consumption of red and processed meat. Heme iron intake has been directly associated with a higher risk of T2DM in healthy adult Chinese and U.S populations. The objective of the present study was to evaluate the association between heme iron intake and the incidence of T2DM in a Mediterranean population at high cardiovascular risk. Methods We assessed a subset of participants in the PREDIMED trial as an observational cohort, followed up for a maximum of eight years. We initially included 1073 non-diabetic subjects (57.1% women) aged 67.3 ± 6.0 years, at high cardiovascular risk. Diet was assessed at the study baseline using a validated, semi-quantitative food frequency questionnaire. Results During the follow-up period 131 diabetics were newly diagnosed. The risk of developing T2DM was assessed using baseline heme iron intake and proportional hazard models, first unadjusted, then adjusted for energy, and finally adjusted for dietary, anthropometric, socio-demographic and lifestyle variables. Significant direct associations with the incidence of T2DM were found for heme iron (Hazard Ratio [HR] 1.30, 95% confidence interval [CI], 1.02 to 1.66). Secondarily, we have also observed that coffee (HR:0.93, 95% CI, 0.89 to 0.98) and alcoholic beverages (HR: 1.02, 95% CI, 1.01 to 1.04) were also found to reduce and increase the risk of T2DM, respectively. Conclusion High dietary intake of heme iron was associated with an increased risk of developing T2DM in a Mediterranean population at high cardiovascular risk. Trial registration Identifier: ISRCTN35739639.",0,14
What is the relationship between dietary heme iron intake and the incidence of type 2 diabetes in a population at high cardiovascular risk?,"Heme iron intake and risk of new-onset diabetes in a Mediterranean population at high risk of cardiovascular disease: an observational cohort analysis
Background Several epidemiological studies have observed an increased risk of type 2 diabetes mellitus (T2DM) among subjects with a higher consumption of red and processed meat. Heme iron intake has been directly associated with a higher risk of T2DM in healthy adult Chinese and U.S populations. The objective of the present study was to evaluate the association between heme iron intake and the incidence of T2DM in a Mediterranean population at high cardiovascular risk. Methods We assessed a subset of participants in the PREDIMED trial as an observational cohort, followed up for a maximum of eight years. We initially included 1073 non-diabetic subjects (57.1% women) aged 67.3 ± 6.0 years, at high cardiovascular risk. Diet was assessed at the study baseline using a validated, semi-quantitative food frequency questionnaire. Results During the follow-up period 131 diabetics were newly diagnosed. The risk of developing T2DM was assessed using baseline heme iron intake and proportional hazard models, first unadjusted, then adjusted for energy, and finally adjusted for dietary, anthropometric, socio-demographic and lifestyle variables. Significant direct associations with the incidence of T2DM were found for heme iron (Hazard Ratio [HR] 1.30, 95% confidence interval [CI], 1.02 to 1.66). Secondarily, we have also observed that coffee (HR:0.93, 95% CI, 0.89 to 0.98) and alcoholic beverages (HR: 1.02, 95% CI, 1.01 to 1.04) were also found to reduce and increase the risk of T2DM, respectively. Conclusion High dietary intake of heme iron was associated with an increased risk of developing T2DM in a Mediterranean population at high cardiovascular risk. Trial registration Identifier: ISRCTN35739639.",0,14
What are the effects of a vegetarian diet on plasma phospholipid fatty acids in rheumatoid arthritis patients?,"Changes in plasma phospholipid fatty acids and their relationship to disease activity in rheumatoid arthritis patients treated with a vegetarian diet.
In a controlled clinical trial we have recently shown that patients with rheumatoid arthritis (RA) improved after fasting for 7-10 d and that the improvement could be sustained through 3.5 months with a vegan diet and 9 months with a lactovegetarian diet. Other studies have indicated that the inflammatory process in RA can be reduced through manipulation of dietary fatty acids. A switch to a vegetarian diet significantly alters the intake of fatty acids. Therefore, we have analysed the changes in fatty acid profiles of the plasma phospholipid fraction and related these changes to disease activity. The concentrations of the fatty acids 20:3n-6 and 20:4n-6 were significantly reduced after 3.5 months with a vegan diet (P < 0.0001 and P < 0.01 respectively), but the concentration increased to baseline values with a lactovegetarian diet. The concentration of 20:5n-3 was significantly reduced after the vegan diet (P < 0.0001) and the lactovegetarian diet periods (P < 0.01). There was no significant difference in fatty acid concentrations between diet responders and diet non-responders after the vegan or lactovegetarian diet periods. Our results indicate that the changes in the fatty acid profiles cannot explain the clinical improvement.",0,15
Can manipulation of dietary fatty acids improve disease activity in rheumatoid arthritis patients?,"Changes in plasma phospholipid fatty acids and their relationship to disease activity in rheumatoid arthritis patients treated with a vegetarian diet.
In a controlled clinical trial we have recently shown that patients with rheumatoid arthritis (RA) improved after fasting for 7-10 d and that the improvement could be sustained through 3.5 months with a vegan diet and 9 months with a lactovegetarian diet. Other studies have indicated that the inflammatory process in RA can be reduced through manipulation of dietary fatty acids. A switch to a vegetarian diet significantly alters the intake of fatty acids. Therefore, we have analysed the changes in fatty acid profiles of the plasma phospholipid fraction and related these changes to disease activity. The concentrations of the fatty acids 20:3n-6 and 20:4n-6 were significantly reduced after 3.5 months with a vegan diet (P < 0.0001 and P < 0.01 respectively), but the concentration increased to baseline values with a lactovegetarian diet. The concentration of 20:5n-3 was significantly reduced after the vegan diet (P < 0.0001) and the lactovegetarian diet periods (P < 0.01). There was no significant difference in fatty acid concentrations between diet responders and diet non-responders after the vegan or lactovegetarian diet periods. Our results indicate that the changes in the fatty acid profiles cannot explain the clinical improvement.",0,15
