[UE1] [2025-07-19 11:34:39] [  5]   0.00-1.00   sec  3.77 MBytes  31.7 Mbits/sec  0.228 ms  0/2733 (0%)
[UE1] [2025-07-19 11:49:53] [  5]   2.00-3.00   sec  4.23 MBytes  35.5 Mbits/sec  0.128 ms  3240/6305 (51%)
[UE1] [2025-07-19 11:49:54] [  5]   3.00-4.00   sec  4.67 MBytes  39.1 Mbits/sec  0.130 ms  7138/10517 (68%)
[UE1] [2025-07-19 11:49:55] [  5]   4.00-5.00   sec  4.83 MBytes  40.5 Mbits/sec  0.119 ms  7294/10795 (68%)
[UE1] [2025-07-19 11:49:56] [  5]   5.00-6.00   sec  4.61 MBytes  38.7 Mbits/sec  0.095 ms  6846/10186 (67%)
[UE1] [2025-07-19 11:49:57] [  5]   6.00-7.00   sec  4.65 MBytes  39.0 Mbits/sec  0.136 ms  6854/10219 (67%)
[UE1] [2025-07-19 11:49:58] [  5]   7.00-8.00   sec  4.06 MBytes  34.0 Mbits/sec  0.086 ms  5939/8876 (67%)
[UE1] [2025-07-19 11:49:59] [  5]   8.00-9.00   sec  4.04 MBytes  33.9 Mbits/sec  0.139 ms  6439/9365 (69%)
[UE1] [2025-07-19 11:50:00] [  5]   9.00-10.00  sec  4.58 MBytes  38.4 Mbits/sec  0.102 ms  8042/11360 (71%)
[UE1] [2025-07-19 11:50:01] [  5]  10.00-11.00  sec  4.61 MBytes  38.7 Mbits/sec  0.108 ms  7997/11334 (71%)
[UE1] [2025-07-19 11:50:02] [  5]  11.00-12.00  sec  4.82 MBytes  40.5 Mbits/sec  0.123 ms  7338/10830 (68%)
[UE1] [2025-07-19 11:50:03] [  5]  12.00-13.00  sec  4.58 MBytes  38.4 Mbits/sec  0.126 ms  6992/10309 (68%)
[UE1] [2025-07-19 11:50:04] [  5]  13.00-14.00  sec  4.60 MBytes  38.6 Mbits/sec  0.120 ms  6940/10268 (68%)
[UE1] [2025-07-19 11:50:05] [  5]  14.00-15.00  sec  4.51 MBytes  37.8 Mbits/sec  0.129 ms  6913/10178 (68%)
[UE1] [2025-07-19 11:50:06] [  5]  15.00-16.00  sec  4.66 MBytes  39.1 Mbits/sec  0.081 ms  7079/10452 (68%)
[UE1] [2025-07-19 11:50:07] [  5]  16.00-17.00  sec  4.57 MBytes  38.4 Mbits/sec  0.089 ms  6911/10223 (68%)
[UE1] [2025-07-19 11:50:08] [  5]  17.00-18.00  sec  4.86 MBytes  40.8 Mbits/sec  0.096 ms  7384/10907 (68%)
[UE1] [2025-07-19 11:50:09] [  5]  18.00-19.00  sec  4.55 MBytes  38.1 Mbits/sec  0.131 ms  6813/10106 (67%)
[UE1] [2025-07-19 11:50:10] [  5]  19.00-20.00  sec  4.60 MBytes  38.6 Mbits/sec  0.103 ms  6893/10223 (67%)
[UE1] [2025-07-19 11:50:11] [  5]  20.00-21.00  sec  4.61 MBytes  38.7 Mbits/sec  2.884 ms  7267/10607 (69%)
[UE1] [2025-07-19 11:50:12] [  5]  21.00-22.00  sec  4.49 MBytes  37.7 Mbits/sec  0.104 ms  6832/10084 (68%)
[UE1] [2025-07-19 11:50:13] [  5]  22.00-23.00  sec  4.66 MBytes  39.0 Mbits/sec  0.122 ms  6665/10036 (66%)
[UE1] [2025-07-19 11:50:14] [  5]  23.00-24.00  sec  5.36 MBytes  44.9 Mbits/sec  0.136 ms  8465/12345 (69%)
[UE1] [2025-07-19 11:50:15] [  5]  24.00-25.00  sec  9.50 MBytes  79.7 Mbits/sec  0.093 ms  12760/19636 (65%)
[UE1] [2025-07-19 11:50:16] [  5]  25.00-26.00  sec  9.36 MBytes  78.5 Mbits/sec  0.120 ms  3069/9848 (31%)
[UE1] [2025-07-19 11:50:17] [  5]  26.00-27.00  sec  10.0 MBytes  84.2 Mbits/sec  0.080 ms  3724/10996 (34%)
[UE1] [2025-07-19 11:50:18] [  5]  27.00-28.00  sec  9.49 MBytes  79.6 Mbits/sec  0.111 ms  3306/10177 (32%)
[UE1] [2025-07-19 11:50:19] [  5]  28.00-29.00  sec  9.29 MBytes  77.9 Mbits/sec  0.107 ms  3344/10070 (33%)
[UE1] [2025-07-19 11:50:20] [  5]  29.00-30.00  sec  10.1 MBytes  84.4 Mbits/sec  0.125 ms  3689/10977 (34%)
[UE1] [2025-07-19 11:50:21] [  5]  30.00-31.00  sec  8.16 MBytes  68.4 Mbits/sec  0.078 ms  2741/8650 (32%)
[UE1] [2025-07-19 11:50:22] [  5]  31.00-32.00  sec  15.6 MBytes   131 Mbits/sec  0.187 ms  4408/15727 (28%)
[UE1] [2025-07-19 11:50:23] [  5]  32.00-33.00  sec  12.7 MBytes   107 Mbits/sec  0.078 ms  834/10057 (8.3%)
[UE1] [2025-07-19 11:50:24] [  5]  33.00-34.00  sec  15.4 MBytes   129 Mbits/sec  0.137 ms  27/11165 (0.24%)
[UE1] [2025-07-19 11:50:25] [  5]  34.00-35.00  sec  14.3 MBytes   120 Mbits/sec  0.120 ms  0/10358 (0%)
[UE1] [2025-07-19 11:50:26] [  5]  35.00-36.00  sec  14.3 MBytes   120 Mbits/sec  0.140 ms  0/10332 (0%)
[UE1] [2025-07-19 11:50:27] [  5]  36.00-37.00  sec  14.4 MBytes   120 Mbits/sec  0.165 ms  0/10395 (0%)
[UE1] [2025-07-19 11:50:28] [  5]  37.00-38.00  sec  14.3 MBytes   120 Mbits/sec  0.207 ms  0/10354 (0%)
[UE1] [2025-07-19 11:50:29] [  5]  38.00-39.00  sec  14.2 MBytes   120 Mbits/sec  0.178 ms  0/10317 (0%)
[UE1] [2025-07-19 11:50:30] [  5]  39.00-40.00  sec  13.9 MBytes   117 Mbits/sec  0.172 ms  0/10061 (0%)
[UE1] [2025-07-19 11:50:31] [  5]  40.00-41.00  sec  11.7 MBytes  97.8 Mbits/sec  0.136 ms  315/8757 (3.6%)
[UE1] [2025-07-19 11:50:32] [  5]  41.00-42.00  sec  15.1 MBytes   127 Mbits/sec  0.141 ms  1205/12173 (9.9%)
[UE1] [2025-07-19 11:50:33] [  5]  42.00-43.00  sec  11.7 MBytes  98.2 Mbits/sec  0.099 ms  19/8497 (0.22%)
[UE1] [2025-07-19 11:50:34] [  5]  43.00-44.00  sec  16.0 MBytes   134 Mbits/sec  0.153 ms  705/12267 (5.7%)
[UE1] [2025-07-19 11:50:35] [  5]  44.00-45.00  sec  13.3 MBytes   112 Mbits/sec  0.091 ms  16/9671 (0.17%)
[UE1] [2025-07-19 11:50:36] [  5]  45.00-46.00  sec  15.3 MBytes   128 Mbits/sec  0.164 ms  14/11086 (0.13%)
[UE1] [2025-07-19 11:50:37] [  5]  46.00-47.00  sec  11.3 MBytes  94.9 Mbits/sec  0.071 ms  572/8765 (6.5%)
[UE1] [2025-07-19 11:50:38] [  5]  47.00-48.00  sec  15.9 MBytes   133 Mbits/sec  0.237 ms  408/11895 (3.4%)
[UE1] [2025-07-19 11:50:39] [  5]  48.00-49.00  sec  14.5 MBytes   121 Mbits/sec  0.158 ms  32/10499 (0.3%)
[UE1] [2025-07-19 11:50:40] [  5]  49.00-50.00  sec  14.3 MBytes   120 Mbits/sec  0.132 ms  0/10369 (0%)
[UE1] [2025-07-19 11:50:41] [  5]  50.00-51.00  sec  13.7 MBytes   115 Mbits/sec  0.165 ms  0/9955 (0%)
[UE1] [2025-07-19 11:50:42] [  5]  51.00-52.00  sec  12.8 MBytes   107 Mbits/sec  0.109 ms  260/9495 (2.7%)
[UE1] [2025-07-19 11:50:43] [  5]  52.00-53.00  sec  15.2 MBytes   127 Mbits/sec  0.155 ms  71/11044 (0.64%)
[UE1] [2025-07-19 11:50:44] [  5]  53.00-54.00  sec  14.1 MBytes   118 Mbits/sec  0.118 ms  470/10694 (4.4%)
[UE1] [2025-07-19 11:50:45] [  5]  54.00-55.00  sec  14.2 MBytes   119 Mbits/sec  0.211 ms  91/10368 (0.88%)
[UE1] [2025-07-19 11:50:46] [  5]  55.00-56.00  sec  14.5 MBytes   121 Mbits/sec  0.146 ms  58/10530 (0.55%)
[UE1] [2025-07-19 11:50:47] [  5]  56.00-57.00  sec  14.2 MBytes   119 Mbits/sec  0.141 ms  0/10298 (0%)
[UE1] [2025-07-19 11:50:48] [  5]  57.00-58.00  sec  14.5 MBytes   121 Mbits/sec  0.154 ms  0/10468 (0%)
[UE1] [2025-07-19 11:50:49] [  5]  58.00-59.00  sec  14.3 MBytes   120 Mbits/sec  0.143 ms  0/10349 (0%)
[UE1] [2025-07-19 11:50:50] [  5]  59.00-60.00  sec  14.3 MBytes   120 Mbits/sec  0.203 ms  0/10356 (0%)
[UE1] [2025-07-19 11:50:51] [  5]  60.00-61.00  sec  14.3 MBytes   120 Mbits/sec  0.187 ms  0/10387 (0%)
[UE1] [2025-07-19 11:50:52] [  5]  61.00-62.00  sec  14.3 MBytes   120 Mbits/sec  0.179 ms  0/10376 (0%)
[UE1] [2025-07-19 11:50:53] [  5]  62.00-63.00  sec  11.8 MBytes  98.8 Mbits/sec  0.102 ms  5/8531 (0.059%)
[UE1] [2025-07-19 11:50:54] [  5]  63.00-64.00  sec  15.2 MBytes   127 Mbits/sec  0.193 ms  522/11510 (4.5%)
[UE1] [2025-07-19 11:50:55] [  5]  64.00-65.00  sec  8.95 MBytes  75.1 Mbits/sec  0.084 ms  280/6761 (4.1%)
[UE1] [2025-07-19 11:50:56] [  5]  65.00-66.00  sec  8.77 MBytes  73.6 Mbits/sec  0.096 ms  3164/9515 (33%)
[UE1] [2025-07-19 11:50:57] [  5]  66.00-67.00  sec  10.0 MBytes  84.1 Mbits/sec  0.107 ms  4069/11331 (36%)
[UE1] [2025-07-19 11:50:58] [  5]  67.00-68.00  sec  8.76 MBytes  73.5 Mbits/sec  0.071 ms  2983/9330 (32%)
[UE1] [2025-07-19 11:50:59] [  5]  68.00-69.00  sec  9.33 MBytes  78.3 Mbits/sec  0.100 ms  3711/10467 (35%)
[UE1] [2025-07-19 11:51:00] [  5]  69.00-70.00  sec  9.50 MBytes  79.7 Mbits/sec  0.107 ms  3806/10688 (36%)
[UE1] [2025-07-19 11:51:01] [  5]  70.00-71.00  sec  9.50 MBytes  79.7 Mbits/sec  0.089 ms  3402/10281 (33%)
[UE1] [2025-07-19 11:51:02] [  5]  71.00-72.00  sec  16.1 MBytes   135 Mbits/sec  0.190 ms  3539/15202 (23%)
[UE1] [2025-07-19 11:51:03] [  5]  72.00-73.00  sec  13.5 MBytes   114 Mbits/sec  0.146 ms  0/9804 (0%)
[UE1] [2025-07-19 11:51:04] [  5]  73.00-74.00  sec  12.9 MBytes   108 Mbits/sec  0.080 ms  363/9721 (3.7%)
[UE1] [2025-07-19 11:51:05] [  5]  74.00-75.00  sec  15.2 MBytes   128 Mbits/sec  0.144 ms  259/11294 (2.3%)
[UE1] [2025-07-19 11:51:06] [  5]  75.00-76.00  sec  13.8 MBytes   116 Mbits/sec  0.182 ms  22/10030 (0.22%)
[UE1] [2025-07-19 11:51:07] [  5]  76.00-77.00  sec  13.3 MBytes   112 Mbits/sec  0.119 ms  424/10055 (4.2%)
[UE1] [2025-07-19 11:51:08] [  5]  77.00-78.00  sec  15.2 MBytes   128 Mbits/sec  0.162 ms  0/11028 (0%)
[UE1] [2025-07-19 11:51:09] [  5]  78.00-79.00  sec  11.7 MBytes  98.0 Mbits/sec  0.106 ms  897/9353 (9.6%)
[UE1] [2025-07-19 11:51:10] [  5]  79.00-80.00  sec  15.9 MBytes   134 Mbits/sec  0.146 ms  22/11547 (0.19%)
[UE1] [2025-07-19 11:51:11] [  5]  80.00-81.00  sec  14.4 MBytes   121 Mbits/sec  0.150 ms  0/10412 (0%)
[UE1] [2025-07-19 11:51:12] [  5]  81.00-82.00  sec  14.3 MBytes   120 Mbits/sec  0.082 ms  0/10382 (0%)
[UE1] [2025-07-19 11:51:13] [  5]  82.00-83.00  sec  14.2 MBytes   119 Mbits/sec  0.207 ms  0/10309 (0%)
[UE1] [2025-07-19 11:51:14] [  5]  83.00-84.00  sec  14.1 MBytes   118 Mbits/sec  0.159 ms  0/10202 (0%)
[UE1] [2025-07-19 11:51:15] [  5]  84.00-85.00  sec  13.7 MBytes   115 Mbits/sec  0.151 ms  0/9943 (0%)
[UE1] [2025-07-19 11:51:16] [  5]  85.00-86.00  sec  12.4 MBytes   104 Mbits/sec  0.108 ms  399/9370 (4.3%)
[UE1] [2025-07-19 11:51:17] [  5]  86.00-87.00  sec  15.5 MBytes   130 Mbits/sec  0.143 ms  606/11810 (5.1%)
[UE1] [2025-07-19 11:51:18] [  5]  87.00-88.00  sec  14.1 MBytes   119 Mbits/sec  0.145 ms  0/10245 (0%)
[UE1] [2025-07-19 11:51:19] [  5]  88.00-89.00  sec  14.4 MBytes   121 Mbits/sec  0.212 ms  41/10466 (0.39%)
[UE1] [2025-07-19 11:51:20] [  5]  89.00-90.00  sec  14.3 MBytes   120 Mbits/sec  0.167 ms  0/10374 (0%)
[UE1] [2025-07-19 11:51:21] [  5]  90.00-91.00  sec  14.5 MBytes   121 Mbits/sec  0.174 ms  0/10468 (0%)
[UE1] [2025-07-19 11:51:22] [  5]  91.00-92.00  sec  14.4 MBytes   121 Mbits/sec  0.139 ms  0/10427 (0%)
[UE1] [2025-07-19 11:51:23] [  5]  92.00-93.00  sec  14.3 MBytes   120 Mbits/sec  0.191 ms  0/10335 (0%)
[UE1] [2025-07-19 11:51:24] [  5]  93.00-94.00  sec  13.4 MBytes   113 Mbits/sec  0.125 ms  0/9720 (0%)
[UE1] [2025-07-19 11:51:25] [  5]  94.00-95.00  sec  14.1 MBytes   118 Mbits/sec  0.252 ms  432/10655 (4.1%)
[UE1] [2025-07-19 11:51:26] [  5]  95.00-96.00  sec  14.3 MBytes   120 Mbits/sec  0.163 ms  101/10450 (0.97%)
[UE1] [2025-07-19 11:51:27] [  5]  96.00-97.00  sec  14.1 MBytes   118 Mbits/sec  0.169 ms  27/10241 (0.26%)
[UE1] [2025-07-19 11:51:28] [  5]  97.00-98.00  sec  14.5 MBytes   122 Mbits/sec  0.158 ms  244/10779 (2.3%)
[UE1] [2025-07-19 11:51:29] [  5]  98.00-99.00  sec  14.3 MBytes   120 Mbits/sec  0.095 ms  0/10357 (0%)
[UE1] [2025-07-19 11:51:31] [  5]  99.00-100.00 sec  14.8 MBytes   124 Mbits/sec  0.120 ms  0/10747 (0%)
[UE1] [2025-07-19 11:51:32] [  5]   0.00-1.00   sec  3.72 MBytes  31.2 Mbits/sec  0.216 ms  0/2694 (0%)
[UE1] [2025-07-19 11:51:33] [  5]   1.00-2.00   sec  3.58 MBytes  30.0 Mbits/sec  0.162 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:34] [  5]   2.00-3.00   sec  3.58 MBytes  30.0 Mbits/sec  0.234 ms  0/2592 (0%)
[UE1] [2025-07-19 11:51:35] [  5]   3.00-4.00   sec  3.57 MBytes  30.0 Mbits/sec  0.315 ms  0/2587 (0%)
[UE1] [2025-07-19 11:51:36] [  5]   4.00-5.00   sec  3.58 MBytes  30.0 Mbits/sec  0.245 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:37] [  5]   5.00-6.00   sec  3.58 MBytes  30.0 Mbits/sec  0.279 ms  0/2591 (0%)
[UE1] [2025-07-19 11:51:38] [  5]   6.00-7.00   sec  3.58 MBytes  30.0 Mbits/sec  0.272 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:39] [  5]   7.00-8.00   sec  3.57 MBytes  30.0 Mbits/sec  0.211 ms  0/2587 (0%)
[UE1] [2025-07-19 11:51:40] [  5]   8.00-9.00   sec  3.58 MBytes  30.0 Mbits/sec  0.214 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:41] [  5]   9.00-10.00  sec  3.58 MBytes  30.0 Mbits/sec  0.285 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:42] [  5]  10.00-11.00  sec  3.58 MBytes  30.0 Mbits/sec  0.303 ms  0/2593 (0%)
[UE1] [2025-07-19 11:51:43] [  5]  11.00-12.00  sec  3.58 MBytes  30.0 Mbits/sec  0.199 ms  0/2592 (0%)
[UE1] [2025-07-19 11:51:44] [  5]  12.00-13.00  sec  3.58 MBytes  30.0 Mbits/sec  0.312 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:45] [  5]  13.00-14.00  sec  3.57 MBytes  30.0 Mbits/sec  0.186 ms  0/2588 (0%)
[UE1] [2025-07-19 11:51:46] [  5]  14.00-15.00  sec  3.57 MBytes  30.0 Mbits/sec  0.286 ms  0/2587 (0%)
[UE1] [2025-07-19 11:51:47] [  5]  15.00-16.00  sec  3.58 MBytes  30.0 Mbits/sec  0.233 ms  0/2592 (0%)
[UE1] [2025-07-19 11:51:48] [  5]  16.00-17.00  sec  3.57 MBytes  30.0 Mbits/sec  0.317 ms  0/2588 (0%)
[UE1] [2025-07-19 11:51:49] [  5]  17.00-18.00  sec  3.58 MBytes  30.0 Mbits/sec  0.221 ms  0/2592 (0%)
[UE1] [2025-07-19 11:51:50] [  5]  18.00-19.00  sec  3.58 MBytes  30.0 Mbits/sec  0.235 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:51] [  5]  19.00-20.00  sec  3.58 MBytes  30.0 Mbits/sec  0.199 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:52] [  5]  20.00-21.00  sec  3.58 MBytes  30.0 Mbits/sec  0.118 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:53] [  5]  21.00-22.00  sec  3.58 MBytes  30.0 Mbits/sec  0.223 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:54] [  5]  22.00-23.00  sec  3.58 MBytes  30.0 Mbits/sec  0.157 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:55] [  5]  23.00-24.00  sec  3.58 MBytes  30.0 Mbits/sec  0.216 ms  0/2590 (0%)
[UE1] [2025-07-19 11:51:56] [  5]  24.00-25.00  sec  3.58 MBytes  30.0 Mbits/sec  0.178 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:57] [  5]  25.00-26.00  sec  3.58 MBytes  30.0 Mbits/sec  0.162 ms  0/2591 (0%)
[UE1] [2025-07-19 11:51:58] [  5]  26.00-27.00  sec  3.58 MBytes  30.0 Mbits/sec  0.169 ms  0/2589 (0%)
[UE1] [2025-07-19 11:51:59] [  5]  27.00-28.00  sec  3.58 MBytes  30.0 Mbits/sec  0.187 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:00] [  5]  28.00-29.00  sec  3.58 MBytes  30.0 Mbits/sec  0.161 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:01] [  5]  29.00-30.00  sec  3.58 MBytes  30.0 Mbits/sec  0.199 ms  0/2592 (0%)
[UE1] [2025-07-19 11:52:02] [  5]  30.00-31.00  sec  3.57 MBytes  30.0 Mbits/sec  0.224 ms  0/2588 (0%)
[UE1] [2025-07-19 11:52:03] [  5]  31.00-32.00  sec  3.58 MBytes  30.0 Mbits/sec  0.175 ms  0/2589 (0%)
[UE1] [2025-07-19 11:52:04] [  5]  32.00-33.00  sec  3.58 MBytes  30.0 Mbits/sec  0.201 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:05] [  5]  33.00-34.00  sec  3.58 MBytes  30.0 Mbits/sec  0.141 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:06] [  5]  34.00-35.00  sec  3.58 MBytes  30.0 Mbits/sec  0.276 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:07] [  5]  35.00-36.00  sec  3.58 MBytes  30.0 Mbits/sec  0.241 ms  0/2589 (0%)
[UE1] [2025-07-19 11:52:08] [  5]  36.00-37.00  sec  3.58 MBytes  30.0 Mbits/sec  0.215 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:09] [  5]  37.00-38.00  sec  3.58 MBytes  30.0 Mbits/sec  0.221 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:10] [  5]  38.00-39.00  sec  3.58 MBytes  30.0 Mbits/sec  0.136 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:11] [  5]  39.00-40.00  sec  3.58 MBytes  30.0 Mbits/sec  0.244 ms  0/2589 (0%)
[UE1] [2025-07-19 11:52:12] [  5]  40.00-41.00  sec  3.58 MBytes  30.0 Mbits/sec  0.200 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:13] [  5]  41.00-42.00  sec  3.58 MBytes  30.0 Mbits/sec  0.151 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:14] [  5]  42.00-43.00  sec  3.57 MBytes  30.0 Mbits/sec  0.304 ms  0/2587 (0%)
[UE1] [2025-07-19 11:52:15] [  5]  43.00-44.00  sec  3.58 MBytes  30.0 Mbits/sec  0.173 ms  0/2593 (0%)
[UE1] [2025-07-19 11:52:16] [  5]  44.00-45.00  sec  3.57 MBytes  30.0 Mbits/sec  0.182 ms  0/2587 (0%)
[UE1] [2025-07-19 11:52:17] [  5]  45.00-46.00  sec  3.58 MBytes  30.0 Mbits/sec  0.189 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:18] [  5]  46.00-47.00  sec  3.58 MBytes  30.0 Mbits/sec  0.213 ms  0/2591 (0%)
[UE1] [2025-07-19 11:52:19] [  5]  47.00-48.00  sec  3.57 MBytes  30.0 Mbits/sec  0.270 ms  0/2588 (0%)
[UE1] [2025-07-19 11:52:20] [  5]  48.00-49.00  sec  3.58 MBytes  30.0 Mbits/sec  0.297 ms  0/2593 (0%)
[UE1] [2025-07-19 11:52:21] [  5]  49.00-50.00  sec  3.56 MBytes  29.9 Mbits/sec  0.594 ms  0/2581 (0%)
[UE1] [2025-07-19 11:52:22] [  5]  50.00-51.00  sec  3.58 MBytes  30.0 Mbits/sec  0.592 ms  0/2593 (0%)
[UE1] [2025-07-19 11:52:23] [  5]  51.00-52.00  sec  3.54 MBytes  29.7 Mbits/sec  0.549 ms  0/2563 (0%)
[UE1] [2025-07-19 11:52:24] [  5]  52.00-53.00  sec  3.61 MBytes  30.3 Mbits/sec  0.612 ms  0/2614 (0%)
[UE1] [2025-07-19 11:52:25] [  5]  53.00-54.00  sec  3.58 MBytes  30.0 Mbits/sec  0.540 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:26] [  5]  54.00-55.00  sec  3.58 MBytes  30.1 Mbits/sec  0.429 ms  0/2595 (0%)
[UE1] [2025-07-19 11:52:27] [  5]  55.00-56.00  sec  3.56 MBytes  29.9 Mbits/sec  0.594 ms  0/2577 (0%)
[UE1] [2025-07-19 11:52:28] [  5]  56.00-57.00  sec  3.59 MBytes  30.1 Mbits/sec  0.546 ms  0/2602 (0%)
[UE1] [2025-07-19 11:52:29] [  5]  57.00-58.00  sec  3.57 MBytes  30.0 Mbits/sec  0.657 ms  0/2588 (0%)
[UE1] [2025-07-19 11:52:30] [  5]  58.00-59.00  sec  3.32 MBytes  27.9 Mbits/sec  0.760 ms  0/2407 (0%)
[UE1] [2025-07-19 11:52:31] [  5]  59.00-60.00  sec  3.59 MBytes  30.1 Mbits/sec  0.633 ms  0/2600 (0%)
[UE1] [2025-07-19 11:52:32] [  5]  60.00-61.00  sec  3.73 MBytes  31.3 Mbits/sec  0.635 ms  0/2703 (0%)
[UE1] [2025-07-19 11:52:33] [  5]  61.00-62.00  sec  3.65 MBytes  30.6 Mbits/sec  0.607 ms  0/2643 (0%)
[UE1] [2025-07-19 11:52:34] [  5]  62.00-63.00  sec  3.55 MBytes  29.8 Mbits/sec  0.694 ms  0/2569 (0%)
[UE1] [2025-07-19 11:52:35] [  5]  63.00-64.00  sec  3.62 MBytes  30.3 Mbits/sec  0.448 ms  0/2619 (0%)
[UE1] [2025-07-19 11:52:36] [  5]  64.00-65.00  sec  3.40 MBytes  28.6 Mbits/sec  0.607 ms  0/2465 (0%)
[UE1] [2025-07-19 11:52:37] [  5]  65.00-66.00  sec  3.69 MBytes  31.0 Mbits/sec  0.606 ms  0/2674 (0%)
[UE1] [2025-07-19 11:52:38] [  5]  66.00-67.00  sec  3.62 MBytes  30.4 Mbits/sec  0.660 ms  0/2623 (0%)
[UE1] [2025-07-19 11:52:39] [  5]  67.00-68.00  sec  3.58 MBytes  30.0 Mbits/sec  0.681 ms  0/2591 (0%)
[UE1] [2025-07-19 11:52:40] [  5]  68.00-69.00  sec  3.56 MBytes  29.9 Mbits/sec  0.537 ms  0/2580 (0%)
[UE1] [2025-07-19 11:52:41] [  5]  69.00-70.00  sec  3.57 MBytes  29.9 Mbits/sec  0.563 ms  0/2584 (0%)
[UE1] [2025-07-19 11:52:42] [  5]  70.00-71.00  sec  3.60 MBytes  30.2 Mbits/sec  0.673 ms  0/2609 (0%)
[UE1] [2025-07-19 11:52:43] [  5]  71.00-72.00  sec  3.57 MBytes  30.0 Mbits/sec  0.483 ms  0/2588 (0%)
[UE1] [2025-07-19 11:52:44] [  5]  72.00-73.00  sec  3.56 MBytes  29.9 Mbits/sec  0.617 ms  0/2579 (0%)
[UE1] [2025-07-19 11:52:45] [  5]  73.00-74.00  sec  3.40 MBytes  28.5 Mbits/sec  0.578 ms  0/2464 (0%)
[UE1] [2025-07-19 11:52:46] [  5]  74.00-75.00  sec  3.55 MBytes  29.8 Mbits/sec  0.580 ms  0/2569 (0%)
[UE1] [2025-07-19 11:52:47] [  5]  75.00-76.00  sec  3.71 MBytes  31.2 Mbits/sec  0.602 ms  0/2689 (0%)
[UE1] [2025-07-19 11:52:48] [  5]  76.00-77.00  sec  3.64 MBytes  30.5 Mbits/sec  0.543 ms  0/2633 (0%)
[UE1] [2025-07-19 11:52:49] [  5]  77.00-78.00  sec  3.57 MBytes  29.9 Mbits/sec  0.708 ms  0/2584 (0%)
[UE1] [2025-07-19 11:52:50] [  5]  78.00-79.00  sec  3.59 MBytes  30.1 Mbits/sec  0.651 ms  0/2602 (0%)
[UE1] [2025-07-19 11:52:51] [  5]  79.00-80.00  sec  3.59 MBytes  30.1 Mbits/sec  0.445 ms  0/2599 (0%)
[UE1] [2025-07-19 11:52:52] [  5]  80.00-81.00  sec  3.58 MBytes  30.0 Mbits/sec  0.615 ms  0/2594 (0%)
[UE1] [2025-07-19 11:52:53] [  5]  81.00-82.00  sec  3.57 MBytes  30.0 Mbits/sec  0.659 ms  0/2586 (0%)
[UE1] [2025-07-19 11:52:54] [  5]  82.00-83.00  sec  3.58 MBytes  30.0 Mbits/sec  0.270 ms  0/2593 (0%)
[UE1] [2025-07-19 11:52:55] [  5]  83.00-84.00  sec  3.58 MBytes  30.0 Mbits/sec  0.359 ms  0/2592 (0%)
[UE1] [2025-07-19 11:52:56] [  5]  84.00-85.00  sec  3.58 MBytes  30.0 Mbits/sec  0.263 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:57] [  5]  85.00-86.00  sec  3.58 MBytes  30.0 Mbits/sec  0.169 ms  0/2589 (0%)
[UE1] [2025-07-19 11:52:58] [  5]  86.00-87.00  sec  3.58 MBytes  30.0 Mbits/sec  0.214 ms  0/2590 (0%)
[UE1] [2025-07-19 11:52:59] [  5]  87.00-88.00  sec  3.58 MBytes  30.0 Mbits/sec  0.310 ms  0/2590 (0%)
[UE1] [2025-07-19 11:53:00] [  5]  88.00-89.00  sec  3.58 MBytes  30.0 Mbits/sec  0.263 ms  0/2589 (0%)
[UE1] [2025-07-19 11:53:01] [  5]  89.00-90.00  sec  3.57 MBytes  29.9 Mbits/sec  0.538 ms  0/2582 (0%)
[UE1] [2025-07-19 11:53:02] [  5]  90.00-91.00  sec  3.57 MBytes  29.9 Mbits/sec  0.520 ms  0/2585 (0%)
[UE1] [2025-07-19 11:53:03] [  5]  91.00-92.00  sec  3.59 MBytes  30.1 Mbits/sec  0.532 ms  0/2602 (0%)
